ABCDEF,490,954,F
ABCDEF,495,954,F
ABCDEF,590,954,F
ABCDEF,687,954,F
ABCDEF,773,954,F
ABCDEF,806,954,F
ABCDEF,929,34838,F
ABCDEF,1012,51780,F
ABCDEF,1098,51780,F
ABCDEF,1125,51780,F
ABCDEF,1203,51780,F
ABCDEF,1283,51780,F
ABCDEF,1310,51780,F
ABCDEF,1431,51780,F
ABCDEF,1446,129664,F
ABCDEF,1571,129664,F
ABCDEF,1709,247782,F
ABCDEF,1914,247782,F
ABCDEF,2018,247782,F
ABCDEF,2136,247782,F
ABCDEF,2436,440498,F
ABCDEF,2473,633214,F
ABCDEF,2495,633214,F
ABCDEF,2513,633214,F
ABCDEF,2556,633214,F
ABCDEF,2697,988515,F
